Fecha,Libro,Autor,Género,Cantidad,Precio Unitario
2025/01/15,El misterio del tiempo,Mark Harrison,Fantasía,9,27.98
2022/09/11,Mentes brillantes,Melinda Oneal,Romance,9,44.2
2024/05/06,Destino incierto,Karen Alexander,Autoayuda,1,7.07
2023/02/24,Bajo la luna roja,Matthew Glover,Ciencia,15,35.29
2022/10/17,El enigma de la cueva,Tyrone Johnson,Fantasía,16,35.88
2021/08/23,Cien años de soledad,Dr. Leslie Peters,Misterio,9,28.51
2024/03/26,El misterio del tiempo,Shannon Garcia,Ciencia,17,24.24
2025/03/29,El arte de la guerra,Ryan Moreno,Ciencia,19,22.87
2023/08/09,El enigma de la cueva,Shannon Gordon,Historia,13,42.76
2023/01/09,El arte de la guerra,Christopher Walker,Romance,12,23
2025/03/04,Bajo la luna roja,Melissa Bryant,Ciencia,3,29.22
2023/04/06,El misterio del tiempo,Catherine Jones,Misterio,7,21.29
2022/11/05,Destino incierto,Jamie Frank,Autoayuda,1,38.11
2022/08/18,El arte de la guerra,Juan Collins,Ciencia,19,24.89
2023/01/27,El misterio del tiempo,Mark Gibson,Misterio,4,18.95
2024/12/31,Mentes brillantes,Marc Carroll,Misterio,11,11.82
2022/12/21,Secretos ocultos,Annette Graham,Terror,10,42.62
2021/05/18,Bajo la luna roja,Mary Cunningham,Romance,18,35.98
2021/10/25,La teoría del todo,Stephanie Oconnor,No Ficción,10,27.37
2023/02/21,Sombras en la ciudad,Melissa Alexander,Historia,13,47.32
2023/09/19,Bajo la luna roja,Kristina Stokes,No Ficción,12,16.08
2022/08/06,Crónicas de un viajero,Carla Tran,Autoayuda,1,34.59
2021/04/15,Secretos ocultos,Shari Davis,Misterio,2,15.01
2023/10/05,Cien años de soledad,Gary Mullins,Ficción,9,36.38
2024/03/23,Crónicas de un viajero,Kayla Cortez,No Ficción,10,38.68
2021/12/22,El arte de la guerra,Cameron Martin,Misterio,10,26.4
2021/06/22,Destino incierto,James Terry,Historia,18,31.22
2023/02/15,Mentes brillantes,Chelsea Crawford,Terror,8,19.95
2024/12/24,El alquimista,Emily Novak,Ciencia,12,44.74
2024/12/06,Crónicas de un viajero,Paige Ramos,Misterio,10,23.28
2024/10/09,Destino incierto,Michael Hester,No Ficción,7,8.6
2022/12/24,La teoría del todo,Katie Griffin,Ficción,16,26.01
2023/07/25,El último amanecer,Stephanie Manning,Terror,16,22.95
2024/12/28,Crónicas de un viajero,Eric Patton,Historia,17,31.82
2023/08/10,Sombras en la ciudad,Mark Coleman,Ciencia,4,24.37
2022/09/27,Sombras en la ciudad,Cynthia Gardner,Historia,13,45.99
2024/04/01,Destino incierto,Kathy Howard,Romance,1,35.81
2025/03/14,Bajo la luna roja,Julie Murray,Romance,6,33.81
2024/06/29,La sombra del viento,Caroline Miller,Ciencia,13,31.24
2024/06/23,Cien años de soledad,Mathew Hartman,Terror,13,17.62
2024/07/14,Las voces del pasado,Nicholas Miller,Misterio,4,6.25
2021/08/23,Crónicas de un viajero,Nicole Mcdaniel,Fantasía,1,12.76
2024/10/17,Mentes brillantes,Jeffrey Owens,Historia,13,13.82
2023/02/23,El alquimista,Justin West,Fantasía,19,25.27
2024/02/10,El alquimista,Tyler Allen,Autoayuda,18,49.9
2024/09/12,La teoría del todo,Matthew Smith,Ciencia,3,24.05
2021/07/23,El misterio del tiempo,Stephen York,Terror,12,20.4
2022/01/26,Crónicas de un viajero,Edward Jacobson,No Ficción,8,29.38
2024/12/30,El enigma de la cueva,Shannon Rodgers,Autoayuda,13,42.64
2022/04/08,Secretos ocultos,Lauren Marshall,Romance,4,30.77
2022/06/23,El alquimista,Mrs. Cynthia Young MD,Terror,18,18.32
2021/08/18,El enigma de la cueva,Heather Johnson,Fantasía,17,28.94
2022/12/15,Crónicas de un viajero,Anthony Woods,Autoayuda,15,49.46
2021/04/05,El alquimista,Sharon Bryant,Romance,12,46.43
2024/02/09,Las voces del pasado,Emily Dixon,Ficción,8,43.86
2022/06/21,El enigma de la cueva,Austin Mcdowell,Ciencia,18,10.46
2022/10/18,Mentes brillantes,Mary Herring,Terror,1,43.49
2024/11/26,La sombra del viento,Brandy Cruz,Fantasía,1,48.65
2025/03/24,Sombras en la ciudad,Victoria Holmes,Ficción,7,19.6
2024/05/05,Las voces del pasado,Nathan Calderon,No Ficción,12,12.25
2022/06/26,Destino incierto,Sonya Hale,Romance,9,13.37
2023/01/13,Cien años de soledad,Jason Wheeler,Historia,20,31.41
2021/09/13,Crónicas de un viajero,Olivia Baker,Ficción,4,40.35
2024/10/22,Mentes brillantes,Matthew Barnes,Historia,1,7.42
2021/12/30,Mentes brillantes,Jamie Munoz,Ciencia,15,27.12
2022/01/21,El alquimista,Cynthia Cole,Fantasía,16,11.75
2022/09/28,Destino incierto,Jason Williams,Ciencia,2,28.98
2021/05/31,Secretos ocultos,Benjamin Kirby,Autoayuda,14,31.8
2021/04/09,El misterio del tiempo,Grace Watts,Historia,20,13.14
2024/02/16,La sombra del viento,Hannah Johnson,Romance,2,11.36
2023/10/08,Cien años de soledad,Kimberly Oneill,Terror,19,46.68
2022/02/21,Bajo la luna roja,Gina Garcia,No Ficción,20,11.67
2022/12/26,El misterio del tiempo,Peter Ortega,Misterio,19,39.11
2023/05/03,El alquimista,Shari Paul,Ficción,3,19.66
2022/01/27,Las voces del pasado,Misty James,Misterio,19,6.64
2023/01/25,Cien años de soledad,Christopher Mathis,Ficción,12,29.73
2021/10/09,Las voces del pasado,Olivia Garrison,Historia,18,39.87
2021/08/02,El alquimista,Gregory Brown,No Ficción,9,6.19
2023/12/19,El enigma de la cueva,Michael Lucero,Historia,9,24.27
2021/09/27,Mentes brillantes,Daniel Haley,Ciencia,17,35.61
2023/07/06,Cien años de soledad,Jessica Herrera,Misterio,19,27.03
2024/08/26,Bajo la luna roja,Destiny Webster,Ficción,12,13.38
2022/03/02,La sombra del viento,Charles Wong,Historia,20,45.98
2023/02/06,El misterio del tiempo,Ann Perez,Autoayuda,14,19.91
2022/10/13,El misterio del tiempo,William Dixon,Autoayuda,12,37.12
2023/09/28,El arte de la guerra,Mitchell Johns,Terror,6,14.38
2025/03/11,Crónicas de un viajero,Clayton Schwartz,Historia,19,16.39
2023/02/14,Cien años de soledad,Sherri Alvarado,Historia,12,20.97
2021/10/10,Sombras en la ciudad,Chelsea Fernandez,Ciencia,1,49.81
2023/04/19,La teoría del todo,Anna Davis,Ciencia,13,25.86
2023/04/28,Destino incierto,Harold Turner,Historia,15,20.24
2025/02/23,Secretos ocultos,Katrina Mooney,Autoayuda,14,35.53
2024/11/02,Cien años de soledad,Hannah Huffman,No Ficción,12,8.08
2023/05/18,El arte de la guerra,Tiffany Lewis,Ciencia,16,14.21
2022/04/14,Mentes brillantes,Monica Deleon DVM,Ciencia,8,5.43
2022/02/07,Secretos ocultos,Angela Cortez,Misterio,8,27.72
2021/04/30,El enigma de la cueva,Matthew Davenport,Fantasía,20,34.79
2024/10/14,Crónicas de un viajero,April Vasquez,Autoayuda,20,42.18
2024/12/03,El enigma de la cueva,Carolyn Gonzales,Misterio,5,44.44
2023/12/26,El arte de la guerra,William Douglas,No Ficción,8,7.66
2023/10/18,Sombras en la ciudad,Ashley Brown,Ciencia,5,36.53
2022/05/28,El misterio del tiempo,Thomas Cantu,Historia,9,21.07
2023/04/04,El misterio del tiempo,Evan Williamson,Ciencia,6,34.32
2022/11/19,Destino incierto,Charlene Rojas,Fantasía,10,7.24
2024/05/01,El misterio del tiempo,Christopher Arnold,Historia,7,14.53
2023/03/10,El alquimista,Keith Jackson,Historia,18,23.11
2025/02/20,La sombra del viento,Jennifer Burton,Fantasía,9,39.78
2021/09/15,Secretos ocultos,Tina Cooper,Historia,19,35.42
2022/08/08,Mentes brillantes,Debra Downs,Terror,13,35.42
2023/02/09,Las voces del pasado,William Cabrera,Romance,19,31.4
2023/11/20,El enigma de la cueva,Kristina Obrien,Ficción,14,49.54
2021/11/23,Mentes brillantes,Corey Brown,No Ficción,18,26.57
2023/01/18,El arte de la guerra,Michelle Jones,Historia,1,9.46
2023/09/19,Bajo la luna roja,William Bryant,Misterio,10,16.42
2024/03/26,La teoría del todo,Kevin Huffman,Ficción,1,40.33
2021/11/20,Mentes brillantes,Jennifer Ellis,Autoayuda,12,26.49
2025/03/15,Las voces del pasado,Dawn Anderson,Romance,2,48.87
2021/10/23,Mentes brillantes,Christopher Williams,Ciencia,1,19.48
2022/07/21,Crónicas de un viajero,Mark Williams,Autoayuda,4,8.9
2022/09/01,Destino incierto,Daniel Carter,Ficción,7,7.48
2024/04/05,Bajo la luna roja,Daniel Grant,Ficción,8,12.04
2022/06/10,El alquimista,Patrick Reyes,No Ficción,14,17.05
2022/06/07,Las voces del pasado,Clinton Barron,Romance,1,17.04
2023/02/01,El alquimista,Kristen Brown,Romance,15,5.54
2023/07/20,Bajo la luna roja,Richard Strickland,Autoayuda,8,9.24
2022/01/24,Secretos ocultos,Hayley Robbins,Fantasía,5,18.46
2021/12/23,El misterio del tiempo,Tammy Horne,No Ficción,5,41.34
2024/02/16,Crónicas de un viajero,Michael Johnson,Ciencia,18,5.17
2022/06/16,El arte de la guerra,John Martin,Autoayuda,2,16.71
2022/10/25,Mentes brillantes,Nathan Gardner,Autoayuda,2,29.02
2022/12/02,Las voces del pasado,Amy Sanchez,Misterio,6,30.12
2023/02/10,Cien años de soledad,Amanda Anderson,Misterio,13,45.4
2021/05/14,Mentes brillantes,Dwayne Hunt,Fantasía,2,34.81
2024/08/05,El arte de la guerra,Jeffrey Christensen,Fantasía,13,22.71
2024/01/11,La sombra del viento,Joseph Parker,Historia,4,15.66
2022/06/21,El último amanecer,Margaret Peterson,Terror,6,32.34
2022/01/16,Destino incierto,Karen Nguyen,Ciencia,3,27.15
2022/10/11,Cien años de soledad,Daniel Gutierrez,Historia,7,25.93
2021/12/26,Sombras en la ciudad,Michelle Powell,Historia,11,30.03
2022/10/21,Destino incierto,Jeffrey Ramirez,Terror,1,16.59
2022/06/19,Las voces del pasado,Thomas Sanchez,Ficción,13,22.31
2022/12/10,Sombras en la ciudad,Jaclyn Ford,Autoayuda,2,10
2022/10/26,La sombra del viento,Eric House,Misterio,15,18.06
2024/06/15,Las voces del pasado,Shelby Flores,Historia,6,19.65
2022/02/11,El último amanecer,Marcus Thompson,Ciencia,13,44.57
2024/10/12,Las voces del pasado,Jamie Nelson,Autoayuda,2,8.34
2024/11/29,El misterio del tiempo,David Hobbs,Historia,11,13.6
2021/10/05,La teoría del todo,Micheal Martin,Ficción,7,5.44
2024/02/16,Las voces del pasado,Morgan Riddle,Historia,16,23.99
2023/02/10,Cien años de soledad,Julie Edwards,Autoayuda,3,20
2024/07/24,El último amanecer,Mary Hall,Ciencia,15,8.2
2021/04/19,Secretos ocultos,Elizabeth Gonzalez,Autoayuda,18,42.93
2022/08/04,Bajo la luna roja,Lisa Jones,Ficción,8,22.27
2023/12/22,Cien años de soledad,Todd Brown,Ficción,6,32.47
2024/10/09,La teoría del todo,Sarah Lambert,Misterio,11,39.63
2024/01/02,El último amanecer,Mark Jimenez,Romance,11,46.64
2022/10/02,Sombras en la ciudad,Matthew Tucker,Ciencia,3,46.83
2023/06/20,Secretos ocultos,Katherine Marsh,Terror,12,24.34
2022/12/12,El misterio del tiempo,Heather Hill,Romance,14,28.52
2022/01/17,El misterio del tiempo,Crystal Walker,Fantasía,15,6.63
2023/10/30,Bajo la luna roja,Jessica James,Autoayuda,7,28.54
2023/01/06,Crónicas de un viajero,Rachel Rodriguez,Terror,9,25.25
2023/02/20,Las voces del pasado,Rebecca Schroeder,Ciencia,3,9.21
2024/04/09,Mentes brillantes,Max Diaz,Autoayuda,15,39.98
2022/03/20,Mentes brillantes,Jason Owens,Historia,2,29.64
2025/03/27,La teoría del todo,Andrea Larson,Terror,7,16.6
2022/03/10,Destino incierto,Natalie Lopez,Romance,19,5.97
2022/11/14,El alquimista,Abigail Peterson,Historia,19,49.11
2024/03/21,La teoría del todo,Jessica Bean,Historia,4,32.33
2024/05/01,Destino incierto,Jeffrey Rojas,Ficción,18,16.66
2025/02/01,Crónicas de un viajero,Maria Smith,Terror,10,22.51
2021/12/06,Bajo la luna roja,Cynthia Fischer,Misterio,9,21.15
2021/09/08,Mentes brillantes,Melissa Koch,Ciencia,4,34.59
2023/11/17,El enigma de la cueva,Scott Wallace,No Ficción,13,28.9
2024/12/16,Bajo la luna roja,Amanda Cole,Ciencia,2,34.96
2024/07/20,Cien años de soledad,Jennifer Haas,Autoayuda,9,38.31
2023/04/13,Crónicas de un viajero,Andrea Wells,Fantasía,14,43.86
2024/05/21,El arte de la guerra,Mary Smith,Autoayuda,14,7.33
2021/08/18,Crónicas de un viajero,Alyssa Collier,Autoayuda,9,18.2
2024/03/11,Bajo la luna roja,David Hill,Terror,14,49.09
2023/05/31,Destino incierto,James Davis,Autoayuda,18,45.24
2021/11/08,El misterio del tiempo,Chad Green,Historia,10,39.26
2022/11/29,El enigma de la cueva,Nicole Flores,Autoayuda,15,12.24
2024/12/12,El enigma de la cueva,John Young,Autoayuda,18,17.29
2023/08/12,El arte de la guerra,Patrick Patterson,Terror,9,41.85
2023/10/17,Mentes brillantes,Michael Rivera,Ficción,11,45.5
2024/11/07,El alquimista,Courtney Park,Fantasía,9,14.51
2021/10/10,El último amanecer,Richard Powell,Romance,14,9.23
2022/06/04,Crónicas de un viajero,Jeffrey Kerr,Autoayuda,15,37.14
2024/03/19,El misterio del tiempo,James Conway,Terror,12,34.56
2023/05/06,Las voces del pasado,Anthony Hall,Ciencia,12,14.46
2023/11/18,El último amanecer,Andrea Tate,Ficción,17,16.86
2023/02/13,Las voces del pasado,Kayla Sanchez,No Ficción,18,29.37
2022/11/25,Mentes brillantes,Rhonda Roberts,Autoayuda,18,20.03
2022/01/24,El misterio del tiempo,Meagan Wolfe,Terror,18,38.66
2021/08/08,Cien años de soledad,Roger Reed,Historia,4,9
2022/11/15,Secretos ocultos,Alexander Jackson,Ficción,9,32.32
2025/01/23,El alquimista,Anthony Anderson,Ciencia,4,5.48
2022/08/21,Cien años de soledad,Deborah Ramirez,No Ficción,18,44.61
2021/07/07,El enigma de la cueva,Melissa Roberts,Terror,19,32.24
2024/02/15,Secretos ocultos,Denise Soto,Ficción,6,7
2022/10/09,Mentes brillantes,Joseph Campos,Historia,8,5.78
2024/09/05,El enigma de la cueva,Mr. Adam Mendoza,Ciencia,14,42.3
2024/09/16,El enigma de la cueva,Elizabeth Frye,Ficción,14,11
2023/03/13,El misterio del tiempo,Sandra Goodman,Terror,1,29.53
2022/05/03,Las voces del pasado,Joseph Vang,Fantasía,10,6.46
2023/08/27,El arte de la guerra,David Cook,Fantasía,10,37.81
2021/10/08,El alquimista,Brittany Figueroa,Romance,7,26.76
2025/03/21,Destino incierto,Gwendolyn Adams,No Ficción,1,14.44
2024/07/13,Secretos ocultos,Regina Payne,Ciencia,3,6.55
2024/11/27,Secretos ocultos,Tony Santana,Romance,16,15.94
2023/04/11,Las voces del pasado,James Brady,Ficción,7,48.23
2024/01/01,El misterio del tiempo,Nancy Dean,Ficción,4,16.93
2024/06/30,Bajo la luna roja,Nicholas Foster,Fantasía,10,39.83
2022/05/14,Cien años de soledad,Denise Payne DVM,Terror,15,18.92
2023/09/22,Bajo la luna roja,Mrs. Priscilla Miranda,Misterio,20,26.49
2022/09/09,El arte de la guerra,Eric Harmon,Historia,3,17.36
2021/09/06,El último amanecer,Kyle Barr,No Ficción,20,5.41
2025/01/08,El alquimista,Aaron Rollins,Autoayuda,1,31.13
2021/10/30,Sombras en la ciudad,Regina Lawrence,Misterio,6,39.18
2021/10/08,El enigma de la cueva,Renee Brooks,Misterio,2,8.87
2022/03/27,Secretos ocultos,Mario Swanson,Terror,3,14.9
2023/04/19,El último amanecer,James Barton,Fantasía,15,25.96
2024/11/05,El último amanecer,Denise Williams,No Ficción,10,49.09
2024/07/03,El arte de la guerra,Mary Holt,Misterio,11,44.99
2022/10/05,La teoría del todo,Jacqueline Duarte,Autoayuda,2,37.67
2022/03/14,Cien años de soledad,Christine Kane,Terror,7,20.27
2024/09/23,Mentes brillantes,Wesley Parrish,Ciencia,4,39.74
2024/05/12,Secretos ocultos,Erika Ayala,Ficción,8,25.37
2021/08/11,El arte de la guerra,Ashlee Johnson,Romance,1,16.77
2021/12/13,Destino incierto,Sean Carpenter,Ciencia,13,36.8
2022/09/13,Bajo la luna roja,Brandon Ibarra,Historia,8,49.51
2024/04/30,Bajo la luna roja,James Russell,Historia,5,24.84
2022/09/28,Bajo la luna roja,Kathleen Livingston,Ciencia,4,35.14
2022/07/10,Sombras en la ciudad,Wanda Porter,No Ficción,12,11.95
2022/12/03,La teoría del todo,Richard Jackson,Historia,5,34.98
2024/06/07,La sombra del viento,Melanie Jackson,Autoayuda,1,16.36
2023/09/25,Destino incierto,Jordan Mcgee,Terror,8,42.63
2024/07/06,Sombras en la ciudad,Justin Parker,Fantasía,3,28.31
2021/04/02,Secretos ocultos,Rhonda Gonzalez,Ficción,1,32
2024/12/28,La sombra del viento,Tracey Thornton,Terror,4,37.91
2023/08/17,Crónicas de un viajero,Catherine Robinson,No Ficción,14,38.56
2024/12/23,El arte de la guerra,Courtney Dominguez,Historia,20,42.79
2022/02/14,Sombras en la ciudad,Brent May,Historia,17,46.6
2025/02/16,La sombra del viento,Bethany Solomon,Fantasía,19,26.4
2025/01/18,Destino incierto,Rhonda Adams,Autoayuda,20,28.38
