Year,Owner,Present_Price,Driven_kms,Fuel_Type,Transmission,Selling_Price
2016,1,1.5,18000,1,1,1.2
2017,1,1.47,11000,1,1,1.2
2016,1,1.78,6000,1,1,1.2
2016,1,1.5,8700,1,1,1.15
2014,1,2.4,7000,1,1,1.15
2016,1,1.4,35000,1,1,1.15
2015,1,1.47,17000,1,1,1.15
2015,1,1.47,17500,1,1,1.11
2013,1,1.47,33000,1,1,1.1
2015,1,1.9,14000,2,1,1.1
2015,1,1.47,26000,2,1,1.1
2013,1,1.9,5400,2,1,1.05
2016,1,1.26,5700,2,1,1.05
2011,1,1.5,6900,2,1,1.05
2016,1,1.17,6000,2,1,1.05
2013,1,1.47,46500,2,1,1
2012,1,1.75,11500,2,1,0.95
2009,1,1.75,40000,2,1,0.9
2017,1,0.95,1300,2,1,0.9
2016,1,0.8,7000,2,1,0.75
2017,1,0.87,3000,2,1,0.8
2017,1,0.84,5000,2,1,0.78
2017,1,0.87,11000,2,1,0.75
2015,1,0.82,18000,2,1,0.75
2017,1,0.95,3500,2,1,0.75
2016,1,0.95,500,2,1,0.72
2017,1,0.81,11800,2,1,0.65
2015,1,0.74,5000,2,1,0.65
2014,1,1.2,23500,2,1,0.65
2013,1,0.787,16000,2,1,0.65
2016,1,0.87,15000,2,1,0.6
2015,1,0.95,16600,2,1,0.6
2013,1,1.2,32000,2,1,0.6
2016,1,0.8,20000,2,1,0.6
2015,1,0.84,29000,2,1,0.6
2016,1,0.84,25000,2,1,0.6
2014,1,0.99,25000,2,1,0.6
2012,1,0.81,19000,2,1,0.6
2014,1,0.787,15000,2,1,0.55
2015,1,0.84,58000,2,1,0.55
2010,1,0.94,45000,2,1,0.52
2016,1,0.94,24000,2,1,0.51
2011,1,0.826,6000,2,1,0.5
2016,1,0.55,31000,2,1,0.5
2012,1,0.99,13000,2,1,0.5
2013,1,0.99,45000,2,1,0.5
2014,1,0.88,8000,2,1,0.5
2017,1,0.51,4300,2,1,0.48
2017,1,0.52,15000,2,1,0.48
2015,1,0.84,23000,2,1,0.48
2017,1,0.54,8600,2,1,0.48
2017,1,0.51,4000,2,2,0.45
2011,1,0.95,24000,2,1,0.45
2014,1,0.826,23000,2,1,0.45
2012,1,0.99,14500,2,1,0.45
2010,1,0.95,27000,2,1,0.45
2016,1,0.54,14000,2,1,0.45
2016,1,0.54,500,2,1,0.45
2016,1,0.55,1000,2,1,0.45
2014,1,0.81,42000,2,1,0.42
2013,1,0.73,12000,2,1,0.42
2015,1,0.54,14000,2,1,0.4
2012,1,0.83,5500,2,1,0.4
2015,1,0.55,6700,2,1,0.4
2014,1,0.64,13700,2,1,0.4
2017,1,0.51,1300,2,2,0.4
2015,1,0.72,38600,2,1,0.38
2011,1,0.787,75000,2,1,0.38
2011,1,1.05,30000,2,1,0.35
2016,1,0.57,24000,2,2,0.35
2014,1,0.52,19000,2,2,0.35
2010,2,1.05,213000,2,1,0.31
2012,1,0.51,60000,2,1,0.3
2016,1,0.48,50000,2,1,0.3
2013,1,0.58,30000,2,1,0.3
2013,1,0.47,21000,2,1,0.27
2008,1,0.75,26000,2,1,0.25
2008,3,0.58,1900,2,2,0.25
2010,1,0.52,22000,2,2,0.25
2013,1,0.51,32000,2,1,0.25
2013,1,0.57,18000,2,1,0.25
2005,1,0.57,55000,3,1,0.2
2008,1,0.75,60000,3,1,0.2
2012,1,0.57,25000,3,1,0.2
2007,1,0.75,49000,3,1,0.2
2013,1,0.65,24000,3,1,0.2
2008,1,0.787,50000,3,1,0.2
2015,1,0.32,35000,3,1,0.18
2008,1,0.52,500000,3,2,0.17
2010,1,0.51,33000,3,1,0.16
2011,1,0.57,35000,3,1,0.15
2007,1,0.58,53000,3,1,0.12
2006,1,0.75,92233,3,1,0.1
2010,1,6.79,58000,3,1,3.25
2015,1,5.7,28200,3,1,4.4
2011,1,4.6,53460,3,1,2.95
2015,1,4.43,28282,3,1,2.75
2016,1,5.7,3493,3,1,5.25
2017,1,7.13,12479,2,1,5.75
2015,1,5.7,34797,2,2,5.15
2017,1,8.1,3435,2,1,7.9
2015,1,5.7,21125,2,1,4.85
2012,1,4.6,35775,2,1,3.1
2015,1,14.79,43535,2,1,11.75
2016,1,13.6,22671,2,1,11.25
2011,1,6.79,31604,2,1,2.9
2017,1,5.7,20114,2,1,5.25
2012,1,9.4,36100,2,1,4.5
2016,1,4.43,12500,2,1,2.9
2016,1,4.43,15000,2,1,3.15
2014,1,8.4,45078,2,1,6.45
2012,1,9.4,36000,2,1,4.5
2017,1,5.43,38488,2,1,3.5
2013,1,6.79,32000,2,2,4.5
2014,1,7.6,77632,2,1,6
2015,1,9.4,61381,2,1,8.25
2013,1,9.4,36198,2,2,5.11
2011,1,4.6,22517,2,1,2.7
2015,2,5.7,24678,2,1,5.25
2011,1,4.43,57000,2,1,2.55
2012,1,9.4,60000,2,1,4.95
2012,1,6.79,52132,2,1,3.1
2013,1,9.4,45000,2,1,6.15
2017,1,9.4,15001,2,1,9.25
2015,1,14.79,12900,2,2,11.45
2013,1,5.7,53000,2,1,3.9
2015,0,5.7,4492,2,1,5.5
2017,1,9.4,15141,2,1,9.1
2016,1,4.43,11849,2,1,3.1
2015,1,13.6,68000,2,1,11.25
2013,1,9.4,60241,2,1,4.8
2012,1,4.43,23709,2,1,2
2012,1,9.4,32322,2,1,5.35
2015,1,7.13,35866,2,1,4.75
2014,1,7.13,34000,2,1,4.4
2016,1,7.6,7000,2,1,6.25
2013,1,9.4,49000,2,1,5.95
2012,1,9.4,71000,2,1,5.2
2012,1,6.79,35000,2,1,3.75
2015,1,9.4,36000,2,1,5.95
2013,1,4.6,30000,2,1,4
2016,1,7.6,17000,2,1,5.25
2016,1,13.6,35934,2,1,12.9
2013,1,9.9,56701,2,1,5
2015,1,6.82,31427,2,2,5.4
2014,1,9.9,48000,2,1,7.2
2013,1,9.9,54242,2,1,5.25
2012,1,5.35,53675,2,1,3
2016,1,13.6,49562,2,1,10.25
2015,1,13.6,40324,2,1,8.5
2015,1,13.6,25000,2,1,8.4
2014,1,7,36054,2,1,3.9
2016,1,13.6,29223,2,1,9.15
2016,1,5.97,5600,2,1,5.5
2015,1,5.8,40023,2,1,4
2016,1,7.7,16002,2,1,6.6
2015,1,7,40026,2,1,4
2017,1,8.7,21200,2,1,6.5
2014,1,7,35000,2,1,3.65
2016,1,9.4,19434,2,1,8.35
2017,1,5.8,19000,2,1,4.8
2015,1,10,18828,2,1,6.7
2011,1,10,69341,2,1,4.1
2009,1,10,69562,2,1,3
2015,1,10,27600,2,1,7.5
2010,1,7.5,61203,2,1,2.25
2014,1,6.8,16500,2,1,5.3
2016,1,13.6,30753,2,2,10.9
2015,1,13.6,24800,2,1,8.65
2015,2,13.6,21780,2,1,9.7
2016,1,8.4,4000,2,1,6
2014,1,13.6,40126,2,1,6.25
2015,1,5.9,14465,2,1,5.25
2006,1,7.6,50456,2,1,2.1
2014,1,14,63000,2,1,8.25
2016,1,11.8,9010,2,1,8.99
2013,1,5.9,9800,2,1,3.5
2016,1,8.5,15059,2,2,7.4
2016,1,7.9,28569,2,1,5.65
2015,1,7.5,44000,2,2,5.75
2015,1,13.6,34000,2,1,8.4
2016,2,13.6,10980,2,1,10.11
2014,1,6.4,19000,2,1,4.5
2015,1,6.1,31427,2,1,5.4
2016,1,8.4,12000,2,1,6.4
2010,1,9.9,38000,2,1,3.25
2014,1,6.8,33019,2,1,3.75
2015,1,13.09,60076,2,1,8.55
2016,1,11.6,33988,2,1,9.5
2015,1,5.9,60000,2,1,4
2009,1,11,87934,2,1,3.35
2017,1,12.5,9000,2,1,11.5
2016,1,5.9,5464,2,1,5.3
